Rainfall - (MM), Year, Statistics, Country, ISO3
9.9, 1991, Jan Average, Ghana, GHA
38.6, 1991, Feb Average, Ghana, GHA
67.8, 1991, Mar Average, Ghana, GHA
134.9, 1991, Apr Average, Ghana, GHA
237.3, 1991, May Average, Ghana, GHA
131.8, 1991, Jun Average, Ghana, GHA
211.8, 1991, Jul Average, Ghana, GHA
182.3, 1991, Aug Average, Ghana, GHA
116.0, 1991, Sep Average, Ghana, GHA
132.6, 1991, Oct Average, Ghana, GHA
15.7, 1991, Nov Average, Ghana, GHA
5.8, 1991, Dec Average, Ghana, GHA
0.4, 1992, Jan Average, Ghana, GHA
7.5, 1992, Feb Average, Ghana, GHA
37.2, 1992, Mar Average, Ghana, GHA
96.1, 1992, Apr Average, Ghana, GHA
154.2, 1992, May Average, Ghana, GHA
139.6, 1992, Jun Average, Ghana, GHA
115.0, 1992, Jul Average, Ghana, GHA
72.1, 1992, Aug Average, Ghana, GHA
166.2, 1992, Sep Average, Ghana, GHA
83.4, 1992, Oct Average, Ghana, GHA
42.5, 1992, Nov Average, Ghana, GHA
11.9, 1992, Dec Average, Ghana, GHA
2.4, 1993, Jan Average, Ghana, GHA
25.6, 1993, Feb Average, Ghana, GHA
61.3, 1993, Mar Average, Ghana, GHA
99.8, 1993, Apr Average, Ghana, GHA
101.5, 1993, May Average, Ghana, GHA
175.3, 1993, Jun Average, Ghana, GHA
128.5, 1993, Jul Average, Ghana, GHA
138.6, 1993, Aug Average, Ghana, GHA
175.7, 1993, Sep Average, Ghana, GHA
101.4, 1993, Oct Average, Ghana, GHA
46.7, 1993, Nov Average, Ghana, GHA
12.6, 1993, Dec Average, Ghana, GHA
7.6, 1994, Jan Average, Ghana, GHA
13.1, 1994, Feb Average, Ghana, GHA
61.7, 1994, Mar Average, Ghana, GHA
88.2, 1994, Apr Average, Ghana, GHA
164.0, 1994, May Average, Ghana, GHA
134.6, 1994, Jun Average, Ghana, GHA
114.1, 1994, Jul Average, Ghana, GHA
116.5, 1994, Aug Average, Ghana, GHA
184.2, 1994, Sep Average, Ghana, GHA
193.4, 1994, Oct Average, Ghana, GHA
31.2, 1994, Nov Average, Ghana, GHA
3.5, 1994, Dec Average, Ghana, GHA
0.6, 1995, Jan Average, Ghana, GHA
10.8, 1995, Feb Average, Ghana, GHA
