Temperature - (Celsius), Year, Statistics, Country, ISO3
27.6, 1991, Jan Average, Ghana, GHA
29.7, 1991, Feb Average, Ghana, GHA
29.8, 1991, Mar Average, Ghana, GHA
28.6, 1991, Apr Average, Ghana, GHA
27.5, 1991, May Average, Ghana, GHA
27.1, 1991, Jun Average, Ghana, GHA
25.8, 1991, Jul Average, Ghana, GHA
25.3, 1991, Aug Average, Ghana, GHA
26.2, 1991, Sep Average, Ghana, GHA
26.0, 1991, Oct Average, Ghana, GHA
27.0, 1991, Nov Average, Ghana, GHA
26.3, 1991, Dec Average, Ghana, GHA
26.2, 1992, Jan Average, Ghana, GHA
29.3, 1992, Feb Average, Ghana, GHA
29.9, 1992, Mar Average, Ghana, GHA
29.4, 1992, Apr Average, Ghana, GHA
28.0, 1992, May Average, Ghana, GHA
26.3, 1992, Jun Average, Ghana, GHA
25.3, 1992, Jul Average, Ghana, GHA
25.0, 1992, Aug Average, Ghana, GHA
25.6, 1992, Sep Average, Ghana, GHA
26.7, 1992, Oct Average, Ghana, GHA
26.5, 1992, Nov Average, Ghana, GHA
26.8, 1992, Dec Average, Ghana, GHA
26.2, 1993, Jan Average, Ghana, GHA
29.1, 1993, Feb Average, Ghana, GHA
28.9, 1993, Mar Average, Ghana, GHA
29.4, 1993, Apr Average, Ghana, GHA
27.8, 1993, May Average, Ghana, GHA
26.8, 1993, Jun Average, Ghana, GHA
25.6, 1993, Jul Average, Ghana, GHA
25.6, 1993, Aug Average, Ghana, GHA
25.9, 1993, Sep Average, Ghana, GHA
27.1, 1993, Oct Average, Ghana, GHA
27.9, 1993, Nov Average, Ghana, GHA
26.7, 1993, Dec Average, Ghana, GHA
27.1, 1994, Jan Average, Ghana, GHA
29.3, 1994, Feb Average, Ghana, GHA
29.9, 1994, Mar Average, Ghana, GHA
29.2, 1994, Apr Average, Ghana, GHA
28.1, 1994, May Average, Ghana, GHA
26.7, 1994, Jun Average, Ghana, GHA
25.6, 1994, Jul Average, Ghana, GHA
25.3, 1994, Aug Average, Ghana, GHA
25.9, 1994, Sep Average, Ghana, GHA
26.3, 1994, Oct Average, Ghana, GHA
27.2, 1994, Nov Average, Ghana, GHA
26.1, 1994, Dec Average, Ghana, GHA
26.7, 1995, Jan Average, Ghana, GHA
29.1, 1995, Feb Average, Ghana, GHA
29.7, 1995, Mar Average, Ghana, GHA
29.3, 1995, Apr Average, Ghana, GHA
28.4, 1995, May Average, Ghana, GHA
27.2, 1995, Jun Average, Ghana, GHA
26.1, 1995, Jul Average, Ghana, GHA
25.8, 1995, Aug Average, Ghana, GHA
26.2, 1995, Sep Average, Ghana, GHA
26.9, 1995, Oct Average, Ghana, GHA
27.3, 1995, Nov Average, Ghana, GHA
27.1, 1995, Dec Average, Ghana, GHA
27.7, 1996, Jan Average, Ghana, GHA
29.3, 1996, Feb Average, Ghana, GHA
29.9, 1996, Mar Average, Ghana, GHA
29.1, 1996, Apr Average, Ghana, GHA
28.5, 1996, May Average, Ghana, GHA
26.8, 1996, Jun Average, Ghana, GHA
26.0, 1996, Jul Average, Ghana, GHA
25.4, 1996, Aug Average, Ghana, GHA
25.6, 1996, Sep Average, Ghana, GHA
26.6, 1996, Oct Average, Ghana, GHA
27.3, 1996, Nov Average, Ghana, GHA
26.9, 1996, Dec Average, Ghana, GHA
27.8, 1997, Jan Average, Ghana, GHA
28.8, 1997, Feb Average, Ghana, GHA
29.5, 1997, Mar Average, Ghana, GHA
28.8, 1997, Apr Average, Ghana, GHA
27.8, 1997, May Average, Ghana, GHA
26.3, 1997, Jun Average, Ghana, GHA
25.7, 1997, Jul Average, Ghana, GHA
