Simulation Iteration Time Var1 Var2
1.00000 0.00000 0.00000 100.000 100.000
2.00000 0.00000 0.00000 100.000 100.000
1.00000 1.00000 0.00659850 102.000 100.000
2.00000 1.00000 0.00295225 101.000 99.0000
1.00000 11.0000 0.0273023 110.000 98.0000
2.00000 11.0000 0.0170412 111.000 99.0000
1.00000 21.0000 0.0420200 116.000 100.000
2.00000 21.0000 0.0411249 121.000 99.0000
1.00000 31.0000 0.0680828 126.000 100.000
2.00000 31.0000 0.0633574 129.000 99.0000
1.00000 41.0000 0.0903966 136.000 100.000
2.00000 41.0000 0.0792434 133.000 102.000
1.00000 51.0000 0.102589 142.000 99.0000
2.00000 51.0000 0.101774 143.000 102.000
1.00000 61.0000 0.116200 147.000 100.000
2.00000 61.0000 0.123386 151.000 103.000
1.00000 71.0000 0.128830 153.000 102.000
2.00000 71.0000 0.140534 157.000 105.000
1.00000 81.0000 0.144720 161.000 102.000
2.00000 81.0000 0.153177 167.000 105.000
1.00000 91.0000 0.161398 169.000 103.000
2.00000 91.0000 0.182499 176.000 104.000
1.00000 101.000 0.179644 176.000 103.000
2.00000 101.000 0.191137 179.000 105.000
1.00000 111.000 0.195316 184.000 104.000
2.00000 111.000 0.208780 187.000 106.000
1.00000 121.000 0.216699 192.000 105.000
2.00000 121.000 0.222700 197.000 106.000
1.00000 131.000 0.232153 200.000 106.000
2.00000 131.000 0.234306 203.000 107.000
1.00000 141.000 0.244492 210.000 106.000
2.00000 141.000 0.249337 210.000 107.000
1.00000 151.000 0.256109 216.000 108.000
2.00000 151.000 0.273428 218.000 108.000
1.00000 161.000 0.270544 224.000 109.000
2.00000 161.000 0.287840 227.000 107.000
1.00000 171.000 0.281476 230.000 111.000
2.00000 171.000 0.304434 233.000 109.000
1.00000 181.000 0.302070 238.000 112.000
2.00000 181.000 0.324398 240.000 109.000
1.00000 191.000 0.320429 246.000 113.000
2.00000 191.000 0.335035 246.000 111.000
1.00000 201.000 0.331975 254.000 114.000
2.00000 201.000 0.344652 252.000 112.000
1.00000 211.000 0.343366 256.000 118.000
2.00000 211.000 0.361428 256.000 115.000
1.00000 221.000 0.361152 264.000 119.000
2.00000 221.000 0.373966 262.000 117.000
1.00000 231.000 0.374120 270.000 120.000
2.00000 231.000 0.383490 271.000 116.000
1.00000 241.000 0.390675 280.000 120.000
2.00000 241.000 0.393235 276.000 117.000
1.00000 251.000 0.405246 290.000 120.000
2.00000 251.000 0.410103 283.000 117.000
1.00000 261.000 0.414027 295.000 120.000
2.00000 261.000 0.421341 283.000 120.000
1.00000 271.000 0.431873 303.000 121.000
2.00000 271.000 0.435484 291.000 121.000
1.00000 281.000 0.454630 309.000 123.000
2.00000 281.000 0.445827 299.000 122.000
1.00000 291.000 0.468580 314.000 124.000
2.00000 291.000 0.464558 305.000 123.000
1.00000 301.000 0.480932 319.000 125.000
