Simulation Iteration Time Var1 Var2
1.00000 0.00000 0.00000 100.000 100.000
2.00000 0.00000 0.00000 100.000 100.000
3.00000 0.00000 0.00000 100.000 100.000
4.00000 0.00000 0.00000 100.000 100.000
5.00000 0.00000 0.00000 100.000 100.000
6.00000 0.00000 0.00000 100.000 100.000
7.00000 0.00000 0.00000 100.000 100.000
8.00000 0.00000 0.00000 100.000 100.000
9.00000 0.00000 0.00000 100.000 100.000
10.0000 0.00000 0.00000 100.000 100.000
1.00000 0.00000 0.00352691 100.000 99.0000
2.00000 0.00000 0.00278448 99.0000 101.000
3.00000 0.00000 0.00477792 99.0000 101.000
4.00000 0.00000 0.000122763 100.000 99.0000
5.00000 0.00000 0.000595893 100.000 99.0000
6.00000 0.00000 0.00488220 100.000 99.0000
7.00000 0.00000 0.000657450 100.000 99.0000
8.00000 0.00000 3.59544e-05 100.000 99.0000
9.00000 0.00000 0.00356098 99.0000 101.000
10.0000 0.00000 0.00767671 99.0000 101.000
1.00000 1.00000 0.00490119 99.0000 100.000
2.00000 1.00000 0.00342372 99.0000 100.000
3.00000 1.00000 0.00533744 99.0000 100.000
4.00000 1.00000 0.00530004 99.0000 100.000
5.00000 1.00000 0.00132858 100.000 98.0000
6.00000 1.00000 0.0113299 100.000 98.0000
7.00000 1.00000 0.00231673 99.0000 100.000
8.00000 1.00000 0.000241357 100.000 98.0000
9.00000 1.00000 0.00619681 98.0000 102.000
10.0000 1.00000 0.00877154 99.0000 100.000
1.00000 2.00000 0.0109615 98.0000 101.000
2.00000 2.00000 0.00384540 99.0000 99.0000
3.00000 2.00000 0.0111860 99.0000 99.0000
4.00000 2.00000 0.00648308 98.0000 101.000
5.00000 2.00000 0.00285645 100.000 97.0000
6.00000 2.00000 0.0120475 100.000 97.0000
7.00000 2.00000 0.00476646 98.0000 101.000
8.00000 2.00000 0.00235341 99.0000 99.0000
9.00000 2.00000 0.00752325 97.0000 103.000
10.0000 2.00000 0.0176201 99.0000 99.0000
1.00000 3.00000 0.0118504 98.0000 100.000
2.00000 3.00000 0.00473536 99.0000 98.0000
3.00000 3.00000 0.0131853 98.0000 100.000
4.00000 3.00000 0.00657863 98.0000 100.000
5.00000 3.00000 0.00468943 100.000 96.0000
6.00000 3.00000 0.0138963 99.0000 98.0000
7.00000 3.00000 0.00498958 98.0000 100.000
8.00000 3.00000 0.00666067 99.0000 98.0000
9.00000 3.00000 0.00791974 97.0000 102.000
10.0000 3.00000 0.0180628 98.0000 100.000
1.00000 4.00000 0.0137231 98.0000 99.0000
2.00000 4.00000 0.00516440 99.0000 97.0000
3.00000 4.00000 0.0135658 98.0000 99.0000
4.00000 4.00000 0.00972629 98.0000 99.0000
5.00000 4.00000 0.00803157 100.000 95.0000
6.00000 4.00000 0.0223369 99.0000 97.0000
7.00000 4.00000 0.00730403 98.0000 99.0000
