Simulation Iteration Time Var1 Var2
1.00000 0.00000 0.00000 1.00000e+06 1000.00
2.00000 0.00000 0.00000 1.00000e+06 1000.00
1.00000 0.00000 0.000854921 1.00000e+06 999.000
2.00000 0.00000 0.00113320 1.00000e+06 999.000
1.00000 1.00000 0.00307441 1.00000e+06 998.000
2.00000 1.00000 0.00139060 1.00000e+06 998.000
1.00000 2.00000 0.00450656 1.00000e+06 998.000
2.00000 2.00000 0.00149388 1.00000e+06 997.000
1.00000 3.00000 0.00674198 1.00000e+06 997.000
2.00000 3.00000 0.00232592 1.00000e+06 996.000
1.00000 4.00000 0.00884184 1.00000e+06 996.000
2.00000 4.00000 0.00257357 1.00000e+06 996.000
1.00000 5.00000 0.00928382 1.00000e+06 995.000
2.00000 5.00000 0.00262892 1.00000e+06 995.000
1.00000 6.00000 0.0104423 1.00000e+06 995.000
2.00000 6.00000 0.00347455 1.00000e+06 994.000
1.00000 7.00000 0.0111642 1.00000e+06 994.000
2.00000 7.00000 0.00425523 1.00001e+06 993.000
1.00000 8.00000 0.0142832 1.00000e+06 993.000
2.00000 8.00000 0.00433712 1.00001e+06 992.000
1.00000 9.00000 0.0150906 1.00001e+06 993.000
2.00000 9.00000 0.00592143 1.00001e+06 992.000
1.00000 10.0000 0.0155323 1.00000e+06 993.000
2.00000 10.0000 0.00696476 1.00001e+06 991.000
1.00000 11.0000 0.0162295 1.00001e+06 992.000
2.00000 11.0000 0.00935911 1.00001e+06 991.000
1.00000 12.0000 0.0178853 1.00001e+06 992.000
2.00000 12.0000 0.00938335 1.00001e+06 991.000
1.00000 13.0000 0.0202925 1.00001e+06 991.000
2.00000 13.0000 0.00974884 1.00001e+06 990.000
1.00000 14.0000 0.0212829 1.00001e+06 990.000
2.00000 14.0000 0.00979624 1.00001e+06 990.000
1.00000 15.0000 0.0215018 1.00001e+06 989.000
2.00000 15.0000 0.0103415 1.00001e+06 989.000
1.00000 16.0000 0.0222342 1.00001e+06 989.000
2.00000 16.0000 0.0104013 1.00001e+06 989.000
1.00000 17.0000 0.0223814 1.00001e+06 988.000
2.00000 17.0000 0.0104451 1.00001e+06 988.000
1.00000 18.0000 0.0247678 1.00001e+06 987.000
2.00000 18.0000 0.0107313 1.00001e+06 987.000
1.00000 19.0000 0.0265843 1.00001e+06 987.000
2.00000 19.0000 0.0122267 1.00001e+06 987.000
1.00000 20.0000 0.0266821 1.00001e+06 986.000
2.00000 20.0000 0.0129394 1.00001e+06 987.000
1.00000 21.0000 0.0267951 1.00001e+06 985.000
2.00000 21.0000 0.0130011 1.00001e+06 986.000
1.00000 22.0000 0.0269955 1.00001e+06 986.000
2.00000 22.0000 0.0135552 1.00001e+06 985.000
1.00000 23.0000 0.0272051 1.00001e+06 985.000
2.00000 23.0000 0.0140291 1.00001e+06 984.000
1.00000 24.0000 0.0273323 1.00001e+06 985.000
2.00000 24.0000 0.0150032 1.00001e+06 983.000
1.00000 25.0000 0.0283968 1.00001e+06 984.000
2.00000 25.0000 0.0160036 1.00001e+06 982.000
1.00000 26.0000 0.0293116 1.00001e+06 984.000
2.00000 26.0000 0.0162369 1.00001e+06 982.000
1.00000 27.0000 0.0294663 1.00001e+06 983.000
2.00000 27.0000 0.0166507 1.00001e+06 981.000
1.00000 28.0000 0.0295620 1.00001e+06 982.000
2.00000 28.0000 0.0172667 1.00002e+06 981.000
1.00000 29.0000 0.0312491 1.00001e+06 981.000
2.00000 29.0000 0.0182461 1.00002e+06 980.000
1.00000 30.0000 0.0333259 1.00002e+06 981.000
2.00000 30.0000 0.0188228 1.00002e+06 980.000
1.00000 31.0000 0.0334518 1.00001e+06 981.000
2.00000 31.0000 0.0191317 1.00002e+06 979.000
1.00000 32.0000 0.0339610 1.00002e+06 980.000
2.00000 32.0000 0.0209274 1.00002e+06 979.000
1.00000 33.0000 0.0347798 1.00002e+06 979.000
2.00000 33.0000 0.0213466 1.00002e+06 979.000
