"t","E","L","P","A"
0,10,1,1,1
0.3,15,1,1,1
0.6,16,1,1,1
0.9,14,5,1,1
1.2,17,4,1,1
1.5,18,8,0,2
1.8,25,9,1,2
2.1,29,9,1,2
2.4,25,11,1,2
2.7,28,11,2,2
3,24,12,2,2
3.3,26,14,4,2
3.6,33,15,4,2
3.9,33,15,4,2
4.2,27,18,6,2
4.5,33,19,6,2
4.8,43,22,5,2
5.1,43,18,7,2
5.4,33,22,6,3
5.7,37,21,5,5
6,46,24,6,5
6.3,52,23,6,6
6.6,63,27,6,6
6.9,64,29,6,6
7.2,69,29,8,6
7.5,74,30,7,7
7.8,69,39,8,7
8.1,73,45,8,8
8.4,76,50,11,9
8.7,77,51,12,10
9,95,52,11,11
9.3,117,52,11,12
9.6,136,59,9,13
9.9,161,59,9,14
10.2,172,66,14,14
10.2,172,66,14,14
